ProbeID	RefseqBlastZebrafishGene	RefseqBlastZebrafishNucleotide	Number of Different Genes hit with highest stringency
A_15_P102310	hmgcs1	NM_201085 	1
A_15_P671946	ebi3	NM_001113508 	1
CUST_4217_PI425730982	ppil6	NM_001020597 	1
A_15_P736411	col2a1a	NM_131292 	1
A_15_P672241	camta1b	XM_009306273 	1
CUST_12233_PI425730982	si:ch73-111m19.2	XM_009306948 	1
A_15_P120329	gorasp1	NM_001007411 	1
A_15_P106153	si:ch211-236l14.3	XM_002666847 	1
CUST_1171_PI425731064	si:dkey-253d23.8	XM_009296121 	1
A_15_P743196	parp6a	NM_001002537 	1
CUST_7497_PI425730982	slc45a2	NM_001110377 	1
A_15_P709091	nrarpb	NM_181496 	1
A_15_P730071	si:dkey-208k4.2	NM_001100406 	1
A_15_P665361	hcfc1a	NM_001045064 	1
A_15_P133851	nr2f1b	NM_200592 	1
CUST_491_PI425731107	lama2	NM_001278799 	1
A_15_P659776	smarcd1	NM_198358 	1
A_15_P736751	cnnm2a	NM_001144785 	1
A_15_P734931	atg16l1	NM_001017854 	1
A_15_P357170	elfn1b	XM_009306278 	1
A_15_P170101	kcnh2a	NM_001042722 	1
A_15_P168384	v2ra16	XM_009293729 	1
A_15_P737241	rpl3	NM_001001590 	1
A_15_P746221	usp28	XM_001920061 	1
A_15_P114058	ldlra	NM_001030283 	1
CUST_21195_PI425730982	LOC571410	XM_694994 	1
A_15_P144881	col4a6	XM_009303447 	1
A_15_P723266	sdhdb	NM_001004004 	1
A_15_P132036	aspn	NM_131713 	1
A_15_P145976	git2a	NM_001126453 	1
A_15_P264371	zdhhc1	XM_009303349 	1
A_15_P179246	prpf38a	NM_001003483 	1
A_15_P631876	sox9a	NM_131643 	1
CUST_23816_PI425730982	LOC101885382	XM_005173739 	1
A_15_P597667	znf106a	XM_003200378 	1
A_15_P665056	myhz2	NM_152982 	1
A_15_P309006	phf13	NM_001128526 	1
A_15_P409145	fam83fb	NM_001007320 	1
A_15_P682091	si:ch1073-263o8.2	XM_009295702 	1
A_15_P270831	cd4	XM_005173496 	1
A_15_P162756	atat1	NM_213258 	1
A_15_P596662	LOC101885377	XM_005173015 	1
CUST_8177_PI425730982	ints6	NM_001126428 	1
CUST_22430_PI425730982	LOC563140	XR_658302 	1
A_15_P750366	LOC100333241	XM_009294186 	1
A_15_P418795	smurf1	NM_001001943 	1
A_15_P138566	dosb	XM_009296342 	1
A_15_P620836	ubl3b	NM_212856 	1
A_15_P241131	LOC100000890	XM_009293881 	1
A_15_P366315	sdr16c5b	NM_214771 	1
A_15_P473080	sin3b	NM_001044945 	1
CUST_715_PI425731107	ank3b	XM_009306470 	1
A_15_P626661	zbtb24	NM_001023572 	1
A_15_P181126	zgc:123105	NM_001039994 	1
A_15_P195186	cfap53	NM_001045130 	1
A_15_P766511	diabloa	NM_200346 	1
A_15_P197416	LOC100005267	XM_001344334 	1
A_15_P741526	ndrg4	NM_001045173 	1
A_15_P173376	ddx46	NM_001024817 	1
A_15_P172831	coq7	NM_001083011 	1
A_15_P448785	chrna3	XM_001921279 	1
A_15_P363525	zmat4a	XM_003198634 	1
A_15_P473965	amd1	NM_001161601 	1
A_15_P161076	vipr1b	NM_001013353 	1
A_15_P308006	sema4ab	XM_694864 	1
A_15_P655696	mstnb	NM_131019 	1
A_15_P157041	LOC572412	XM_009297605 	1
A_15_P200651	hpgd	XM_689239 	1
CUST_9213_PI425730982	LOC101884166	XM_009293645 	1
A_15_P762491	smarcal1	NM_001127466 	1
A_15_P721356	zgc:103759	NM_001006008 	1
A_15_P377275	syt14a	XM_009307429 	1
A_15_P188441	rnf150	NM_001145572 	1
A_15_P116883	dlb	NM_130958 	1
A_15_P276491	fam149b1	NM_001080665 	1
A_15_P600337	mmp14a	NM_194416 	1
A_15_P201251	si:dkeyp-118h3.5	XM_005167437 	1
CUST_1707_PI425730982	hk2	NM_213066 	1
A_15_P542873	ctsz	NM_001006043 	1
A_15_P105477	zgc:101785	NM_001006053 	1
A_15_P673931	cpeb4	XM_009295677 	1
CUST_13509_PI425730982	si:ch1073-272o11.3	XM_005169431 	1
A_15_P651913	LOC100006564	NM_001126485 	1
A_15_P164081	derl2	NM_001024395 	1
A_15_P226576	spa17	NM_001079680 	1
A_15_P628056	hbl3	NM_131570 	1
A_15_P568957	LOC101883587	XM_005157443 	1
CUST_3137_PI425730982	def8	NM_001007395 	1
A_15_P569197	LOC100002327	XM_001342099 	1
A_15_P268841	pacs2	NM_001122751 	1
A_15_P146176	zgc:56194	NM_200206 	1
A_15_P725341	pdzk1ip1l	NM_001007760 	1
A_15_P747976	kif13bb	XM_002667519 	1
A_15_P691201	LOC101886374	XM_005173420 	1
CUST_20422_PI425730982	daam2	XM_001338872 	1
A_15_P503957	homeza	NM_001007120 	1
A_15_P162006	nkain1	NM_200545 	1
A_15_P503112	nanog	NM_001098392 	1
A_15_P544702	fam189b	XM_009292297 	1
A_15_P646976	tmem125b	NM_001114458 	1
A_15_P383900	LOC100334068	XM_002663768 	1
A_15_P758456	soul5l	XM_009296208 	1
CUST_14329_PI425730982	si:ch211-269i23.2	XM_009292002 	1
CUST_3544_PI425730982	fgf11a	NM_001012380 	1
A_15_P557222	LOC100001188	XM_001341207 	1
A_15_P748776	pld6	NM_001089414 	1
A_15_P180571	myo5b	NM_001161632 	1
A_15_P510477	dopey1	XM_009292501 	1
CUST_67_PI425730982	epb41l4a	NM_131223 	1
A_15_P121414	gid8a	NM_200712 	1
A_15_P247121	xdh	XM_683891 	1
A_15_P103784	armc1	NM_001008609 	1
A_15_P101511	pah	NM_200551 	1
A_15_P672801	frem3	NM_001137659 	1
A_15_P178161	zgc:175222	XM_009306364 	1
CUST_2431_PI425730982	spryd4	NM_001002477 	1
A_15_P366285	zgc:56376	NM_201095 	1
A_15_P108572	srek1ip1	NM_001037672 	1
A_15_P677881	si:ch1073-174d20.2	XR_660013 	1
A_15_P396930	LOC103910274	XM_009299584 	1
A_15_P720206	rdh8b	NM_200788 	1
A_15_P676761	nefla	XM_009295370 	1
CUST_6109_PI425730982	LOC100535611	XM_009306382 	1
A_15_P146686	si:dkey-58f10.14	XM_009301697 	1
CUST_15922_PI425730982	LOC562791	XM_005158023 	1
A_15_P487655	jkamp	NM_200482 	1
CUST_13162_PI425730982	LOC103911379	XM_009303154 	1
A_15_P338200	fam120c	XM_680985 	1
CUST_21936_PI425730982	dusp28	XM_005163246 	1
A_15_P628131	musk	NM_199908 	1
A_15_P666011	scn4ba	NM_001077570 	1
A_15_P203191	im:7136021	XM_005158815 	1
A_15_P310541	atg4d	XM_009294437 	1
A_15_P622656	il23r	NM_001113506 	1
A_15_P435920	gmpr	NM_001020612 	1
A_15_P111513	cbx3b	XM_704110 	1
A_15_P646471	sema3bl	NM_001122712 	1
A_15_P107444	ddx59	NM_001044978 	1
A_15_P708749	ltv1	NM_001002316 	1
CUST_1215_PI425730982	mfap1	NM_201017 	1
A_15_P186886	cyp2k18	NM_200512 	1
A_15_P501007	LOC563292	XM_005170809 	1
CUST_23982_PI425730982	si:ch211-283g2.2	XM_005165017 	1
A_15_P164346	nrm	NM_001045195 	1
A_15_P183516	rnf207b	NM_001201449 	1
A_15_P105797	herpud1	NM_001025537 	1
A_15_P409215	kctd12.1	NM_194405 	1
CUST_1852_PI425731064	tmem132c	XM_005167245 	1
A_15_P134216	mapk7	NM_001013451 	1
A_15_P206991	prdx5	NM_001024406 	1
A_15_P102477	hoxa2b	NM_131106 	1
CUST_1669_PI425730982	adra2b	NM_207638 	1
A_15_P102532	fdx1	XM_001922687 	1
A_15_P622671	ciao1	NM_200147 	1
A_15_P432695	zcchc24	NM_001098388 	1
CUST_640_PI425731107	LOC100535946	XM_009297832 	1
A_15_P106170	apoob	NM_001005777 	1
A_15_P355555	med1	XM_009306556 	1
A_15_P203486	LOC572369	XM_009301099 	1
CUST_1780_PI425731107	LOC101882139	XM_005158911 	1
A_15_P141136	il10	NM_001020785 	1
CUST_5879_PI425730982	mtmr2	NM_131371 	1
A_15_P371555	si:ch211-262e15.1	XM_001922821 	1
A_15_P205451	rint1	NM_001045003 	1
A_15_P582767	clk2a	NM_001044879 	1
A_15_P120514	hsd17b14	NM_001003521 	1
A_15_P742726	rasgrp3	NM_001110464 	1
A_15_P114569	btg4	NM_198121 	1
A_15_P629995	zgc:91908	NM_001002179 	1
CUST_22551_PI425730982	calhm1	XM_001344258 	1
A_15_P505197	cryba1l1	NM_001017738 	1
A_15_P520672	casq1a	NM_001003620 	1
A_15_P722966	hspa8	NM_001110403 	1
CUST_11151_PI425730982	adrb2a	NM_001102652 	1
A_15_P492897	tmprss13a	NM_001159512 	1
A_15_P115783	inppl1b	NM_001045226 	1
A_15_P488545	tpo	XM_009292775 	1
A_15_P131176	whsc1l1	XM_005155326 	1
CUST_13276_PI425730982	LOC100334446	XM_002661004 	1
CUST_19466_PI425730982	LOC100005965	XM_009299523 	1
CUST_16566_PI425730982	LOC101885996	XM_005165008 	1
CUST_23724_PI425730982	LOC569680	XM_009302694 	1
A_15_P741376	cldni	NM_131768 	1
A_15_P155061	tbl3	NM_001007402 	1
A_15_P300171	lrrfip1b	XM_009302283 	1
A_15_P192916	mknk2b	NM_194402 	1
A_15_P627756	hoxb7a	NM_001115091 	1
A_15_P109181	gnao1a	NM_200787 	1
CUST_3225_PI425730982	ext2	NM_001008400 	1
A_15_P653631	clpxa	NM_001004581 	1
A_15_P703961	gpt2l	NM_001142774 	1
A_15_P689626	unc5c	XM_005168609 	1
A_15_P705891	tnni2a.3	NM_205575 	1
A_15_P470025	LOC103908788	XM_009291383 	1
A_15_P722806	atf4b	NM_001103192 	1
A_15_P631031	kcnq1	NM_001123242 	1
A_15_P208416	f10	NM_201462 	1
A_15_P569872	LOC101885107	XM_005174158 	1
A_15_P162156	fgf20b	NM_001039172 	1
A_15_P117043	dcun1d2a	NM_205538 	1
A_15_P666066	pycard	NM_131495 	1
A_15_P189251	aldh9a1a.2	NM_001126480 	1
A_15_P120366	cyp19a1a	NM_131154 	1
A_15_P625266	si:dkey-20i20.5	NM_001128243 	1
A_15_P151316	u2af2b	NM_205689 	1
A_15_P207621	krt94	NM_001077454 	1
A_15_P706716	wu:fj35h06	XM_005164785 	1
A_15_P763611	zgc:163025	NM_001089558 	1
A_15_P110256	tmem59	NM_001111188 	1
A_15_P117765	msmo1	NM_213353 	1
A_15_P120455	clic4	NM_201486 	1
A_15_P188011	cyth1a	NM_214682 	1
CUST_4173_PI425730982	cysltr1	NM_001020648 	1
A_15_P274211	rpn2	NM_212748 	1
A_15_P664281	xab2	NM_001044783 	1
A_15_P100163	gnal	NM_001007339 	1
A_15_P142744	nitr8	NM_001005577 	1
A_15_P548402	ptgfr	NM_001185071 	1
A_15_P174771	nfybb	NM_001013322 	1
A_15_P656211	rtn4b	NM_001040335 	1
A_15_P192701	adora2aa	NM_001039815 	1
A_15_P141031	zgc:153929	NM_001193591 	1
CUST_4355_PI425730982	zgc:112266	NM_001024437 	1
A_15_P107148	opn1mw2	NM_182891 	1
A_15_P170136	zgc:56231	NM_213188 	1
CUST_334_PI425731107	taar12b	NM_001083104 	1
A_15_P516062	ppp2cb	NM_213293 	1
A_15_P626801	rpl38	NM_001002486 	1
CUST_2836_PI425731107	csrnp2	XM_009297026 	1
A_15_P368165	kank3	NM_001257149 	1
A_15_P100917	zgc:103510	NM_001008604 	1
CUST_1981_PI425730982	ccbl1	NM_213359 	1
A_15_P669381	ldlrb	NM_200488 	1
A_15_P159726	zgc:152938	XM_005174390 	1
CUST_4697_PI425730982	fbxl18	NM_001030245 	1
CUST_518_PI425731107	LOC100002327	XM_001342099 	1
A_15_P684221	thy1	XM_009301451 	1
A_15_P155256	LOC100329767	XM_009300853 	1
A_15_P110421	ssbp3b	NM_213450 	1
A_15_P747271	eif2b4	NM_001014361 	1
A_15_P413500	sytl1	NM_001128533 	1
A_15_P164621	fam160b1	NM_001089566 	1
A_15_P172278	smarcb1a	NM_001007296 	1
A_15_P421765	ubr7	NM_212629 	1
A_15_P163836	thbs3b	NM_001045214 	1
A_15_P172246	zgc:56304	NM_213374 	1
A_15_P310391	malrd1	NM_001287549 	1
A_15_P728456	si:dkey-147f3.4	NM_001159639 	1
A_15_P763311	begain	XM_009300919 	1
A_15_P139971	unc50	NM_200247 	1
CUST_16104_PI425730982	si:dkey-210i3.1	XM_001335343 	1
A_15_P138196	LOC101884308	XM_005161742 	1
A_15_P142101	mhc2dbb	NM_001076777 	1
A_15_P666166	clic5a	NM_001007385 	1
CUST_7081_PI425730982	uhrf1bp1l	NM_001100005 	1
A_15_P319801	hps5	NM_001089539 	1
A_15_P629841	plekhm2	NM_001130783 	1
A_15_P177301	LOC567193	XM_009293900 	1
CUST_20506_PI425730982	LOC101885817	XM_009307756 	1
A_15_P629626	zc3h13	NM_200522 	1
A_15_P195121	slc22a18	NM_001037385 	1
A_15_P113318	snx14	NM_001044793 	1
A_15_P120950	im:7154516	XM_003199318 	1
A_15_P113861	evx1	NM_131249 	1
A_15_P600622	anapc5	NM_199622 	1
A_15_P711466	pdrg1	NM_001017757 	1
A_15_P288466	LOC793256	XM_009294081 	1
CUST_1237_PI425731064	tanc2b	XM_009300658 	1
A_15_P260401	kl	XM_009305512 	1
A_15_P112344	pkig	NM_001166156 	1
A_15_P242901	LOC100535515	XM_009295778 	1
CUST_1555_PI425731064	rbm15	XM_001335784 	1
A_15_P627856	eri1	NM_001020614 	1
A_15_P184351	scml4	XM_009294788 	1
A_15_P119596	igf2bp1	NM_001076559 	1
A_15_P626846	prmt3	NM_001017655 	1
A_15_P179751	zp3.1	NM_001109741 	1
A_15_P107676	ddx23	NM_199882 	1
A_15_P141956	zgc:154045	NM_001076665 	1
A_15_P368470	mn1b	XM_001919740 	1
A_15_P113578	aarsd1	NM_001003572 	1
A_15_P175581	zgc:165555	NM_001098761 	1
A_15_P738136	igsf21b	NM_001110473 	1
A_15_P758664	LOC100147995	XM_009292367 	1
A_15_P626026	tnfaip8l1	NM_200332 	1
A_15_P624236	iah1	NM_001025469 	1
CUST_1939_PI425730982	yy1a	NM_212617 	1
A_15_P654406	nudc	NM_200919 	1
CUST_1681_PI425730982	riok1	NM_212995 	1
A_15_P621191	si:ch211-12h2.6	NM_001089400 	1
A_15_P142171	cd226	NM_001080646 	1
A_15_P199891	gtf3c3	NM_001256242 	1
CUST_3356_PI425730982	zgc:100918	NM_001005591 	1
A_15_P170291	meox1	NM_001002450 	1
A_15_P149076	pcyt1aa	NM_001017634 	1
CUST_22321_PI425730982	kbtbd3	XM_001342842 	1
A_15_P107753	polr3k	NM_001002553 	1
A_15_P180246	LOC100007535	XM_001345932 	1
A_15_P364270	LOC103910097	XM_009298685 	1
A_15_P659301	cyp2k22	NM_200235 	1
A_15_P375920	galnt18a	NM_001130648 	1
A_15_P533757	cdh11	NM_131214 	1
A_15_P277216	tyw5	NM_001077543 	1
A_15_P548197	LOC565641	XM_688907 	1
A_15_P287536	brcc3	XM_009295710 	1
CUST_98_PI425731064	LOC100000433	NM_001242645 	1
A_15_P565732	zgc:153913	NM_001079979 	1
A_15_P136791	mob2a	NM_001002364 	1
CUST_89_PI425730982	guca1a	NM_131870 	1
A_15_P542587	LOC100331556	XM_002667245 	1
CUST_24006_PI425730982	rph3ab	XM_686740 	1
A_15_P110392	csnk2a2a	NM_131240 	1
A_15_P659931	timm13	NM_001002465 	1
CUST_1920_PI425731064	si:dkey-78p8.2	XM_001344402 	1
A_15_P546672	znrf2b	NM_001076728 	1
CUST_2160_PI425731107	LOC793183	XM_001332858 	1
A_15_P413765	pleca	NM_001100032 	1
A_15_P169421	ppp1r11	NM_001017627 	1
CUST_14347_PI425730982	LOC100332237	XM_002666957 	1
A_15_P132451	mxc	NM_001007284 	1
A_15_P394370	LOC101886780	XM_005163153 	1
A_15_P756631	chmp2bb	NM_212904 	1
CUST_11476_PI425730982	LOC100333395	XM_009292392 	1
A_15_P765976	tmed5	NM_200403 	1
A_15_P211706	zcchc7	NM_001301358 	1
A_15_P467045	LOC100002310	XM_009292659 	1
A_15_P136926	arid3b	NM_001083002 	1
A_15_P103315	sigmar1	NM_200977 	1
A_15_P133371	rhogc	NM_199692 	1
A_15_P212956	zgc:91968	NM_001002167 	1
A_15_P676601	rp1l1	XM_005169809 	1
A_15_P239886	LOC567978	XM_691289 	1
A_15_P375840	si:ch73-379f7.4	XM_005172065 	1
A_15_P290206	eef1e1	XM_687714 	1
A_15_P741101	thrap3b	NM_214815 	1
A_15_P135896	st6gal2a	NM_001159914 	1
A_15_P103010	zgc:112492	NM_001017658 	1
CUST_21928_PI425730982	LOC100003291	XM_005174369 	1
A_15_P133601	zgc:66430	NM_200055 	1
A_15_P298471	zgc:195077	NM_001130619 	1
CUST_4924_PI425730982	slc7a7	NM_001037559 	1
A_15_P490977	si:ch73-70k4.1	XM_009303874 	1
CUST_2114_PI425731107	LOC103909924	XM_009298278 	1
A_15_P696426	LOC103909295	XM_009294584 	1
A_15_P111895	eya1	NM_131193 	1
CUST_6520_PI425730982	urp2	NM_001082942 	1
CUST_22726_PI425730982	b4galt3	XM_685164 	1
A_15_P629971	fscn1a	NM_001076560 	1
A_15_P496137	chtopb	XM_009292343 	1
A_15_P205461	si:ch211-69i14.4	NM_001100031 	1
A_15_P207346	lctlb	NM_001100014 	1
CUST_24010_PI425730982	foxe1	XM_005159910 	1
A_15_P163386	tm2d1	NM_001099263 	1
A_15_P148476	adrb2b	NM_001089471 	1
A_15_P623011	zgc:172290	NM_001113634 	1
A_15_P140786	limk1a	NM_001042691 	1
A_15_P473260	rnf19a	XM_681158 	1
CUST_7070_PI425730982	otol1a	NM_001099741 	1
A_15_P725161	zgc:92429	NM_001003457 	1
A_15_P100978	pvalb7	NM_205574 	1
A_15_P196911	xpo5	XM_009307065 	1
A_15_P113390	si:dkey-4p15.3	NM_001200012 	1
CUST_3367_PI425730982	zgc:100927	NM_001003633 	1
A_15_P649686	spsb3a	NM_001123008 	1
CUST_7101_PI425730982	dtna	NM_001080581 	1
A_15_P623191	zgc:174650	NM_001114927 	1
A_15_P474890	zgc:174288	XM_005171513 	1
CUST_23500_PI425730982	bcdin3d	XM_009295986 	1
A_15_P499982	samd14	XM_009306528 	1
A_15_P363710	mob1ba	NM_200200 	1
A_15_P691776	pphln1	NM_001080080 	1
A_15_P237176	LOC100537119	XM_003201485 	1
A_15_P518507	tmem204	NM_001163897 	1
A_15_P721591	unc45a	NM_001017671 	1
A_15_P118343	itm2ca	NM_001002549 	1
A_15_P196946	sft2d1	NM_200372 	1
A_15_P742131	psmb7	NM_001045564 	1
A_15_P628171	rexo1	NM_001126416 	1
A_15_P100678	ap1b1	NM_001128530 	1
A_15_P347295	dclre1b	NM_001077283 	1
A_15_P113036	bin2b	NM_199796 	1
A_15_P175891	ikbkg	NM_001014344 	1
A_15_P116234	ptbp1b	NM_001122654 	1
A_15_P768996	brip1	NM_001110296 	1
A_15_P180631	or125-4	NM_001128567 	1
A_15_P115523	rps2	NM_213279 	1
A_15_P215921	slc22a18	NM_001037385 	1
CUST_4656_PI425730982	zgc:114081	NM_001030193 	1
A_15_P110768	cthrc1a	NM_001003765 	1
A_15_P165651	nufip2	XM_002664642 	1
A_15_P626286	invs	NM_152970 	1
A_15_P109665	dusp22a	NM_001002514 	1
A_15_P346180	skilb	NM_001130669 	1
A_15_P367065	prdx3	NM_001013460 	1
CUST_2923_PI425730982	mhc2dab	NM_131476 	1
A_15_P194371	pkma	NM_199333 	1
A_15_P198426	rit1	NM_001128781 	1
A_15_P288906	LOC101882405	XM_005173147 	1
A_15_P193551	ppp6r2a	NM_001025509 	1
CUST_14013_PI425730982	fam169ab	XM_001919304 	1
A_15_P492412	hcar1-1	NM_001163292 	1
A_15_P269976	LOC558330	XM_009291279 	1
A_15_P672195	LOC100002545	XM_001342267 	1
A_15_P633230	mark1	NM_001114476 	1
CUST_812_PI425731064	LOC565078	XM_688372 	1
CUST_6815_PI425730982	ufsp1	NM_001089530 	1
A_15_P146431	coro1cb	XM_005171960 	1
A_15_P468060	alas1	NM_201287 	1
A_15_P365545	zgc:101640	NM_001007444 	1
A_15_P632816	LOC553446	NR_015625 	1
A_15_P312286	kdf1a	XM_001338342 	1
A_15_P134241	lepre1	XM_002663819 	1
A_15_P170151	fam151b	NM_001003531 	1
A_15_P479655	c7h7orf43	XM_001339293 	1
A_15_P144226	dock11	NM_001202493 	1
A_15_P194676	mibp2	XM_009293386 	1
A_15_P483580	sorbs2b	XM_009291160 	1
A_15_P148656	vtna	NM_001020672 	1
A_15_P160711	igfn1.1	NM_001014317 	1
A_15_P167806	hydin	NM_001114415 	1
A_15_P135651	pcdh19	NM_001127519 	1
A_15_P480055	mknk1	NM_001114739 	1
A_15_P628981	scn1ba	NM_001077539 	1
A_15_P398505	cmah	XM_009299959 	1
A_15_P103666	anxa3a	NM_001004632 	1
A_15_P442375	LOC101882968	XM_005156434 	1
A_15_P556822	ankrd33aa	XM_680654 	1
A_15_P117674	minpp1a	NM_001077557 	1
A_15_P660136	ppp1r14bb	NM_001002692 	1
CUST_21276_PI425730982	c1ql4l	XM_005171342 	1
A_15_P719941	psmc5	NM_001003740 	1
A_15_P214801	wu:fc19g04	XM_687018 	1
A_15_P733486	zgc:174928	NM_001113627 	1
A_15_P162201	aif1l	NM_198870 	1
CUST_671_PI425730982	ndc1	NM_199943 	1
A_15_P398325	LOC565381	XM_009291841 	1
A_15_P117231	aldoaa	NM_194377 	1
A_15_P641631	tp53i11b	NM_001077249 	1
A_15_P176406	ppm1k	NM_001013307 	1
A_15_P115734	pddc1	NM_001037118 	1
A_15_P465385	ibtk	XM_005157859 	1
CUST_852_PI425730982	exoc1	NM_199597 	1
A_15_P116092	rasgrp4	NM_001044862 	1
A_15_P608017	LOC100536312	XM_003198328 	1
A_15_P157861	LOC103911749	XM_009305343 	1
A_15_P704401	si:ch1073-110a20.3	XM_009296132 	1
A_15_P673521	ndnf	XM_684842 	1
A_15_P402350	rrbp1a	NM_001145555 	1
A_15_P194941	hs3st1	NM_001080593 	1
CUST_10533_PI425730982	fam20a	NM_001130780 	1
CUST_7587_PI425730982	pus10	NM_001111189 	1
A_15_P540927	rbm39a	XM_009306024 	1
A_15_P200991	serpini1	NM_001128692 	1
A_15_P153616	cyp2aa3v1	NM_001079852 	1
CUST_13022_PI425730982	si:ch211-262n1.4	XM_001919092 	1
A_15_P105209	zgc:73144	NM_200729 	1
CUST_2280_PI425731107	LOC101885715	XM_005172367 	1
A_15_P737371	naa40	NM_001017632 	1
A_15_P100351	lrrc20	NM_001007357 	1
A_15_P206446	ubn2a	NM_001080169 	1
CUST_7997_PI425730982	spry1	XM_005173056 	1
CUST_8814_PI425730982	taar20r	XM_009305628 	1
A_15_P203426	daam2	XM_001338872 	1
A_15_P111523	srd5a2a	NM_001017703 	1
A_15_P344575	vgf	XM_003198950 	1
A_15_P119715	ano1	NM_001161590 	1
CUST_103_PI425731064	LOC793449	XM_009292899 	1
CUST_8076_PI425730982	mblac2	NM_001123267 	1
A_15_P433735	ca15b	NM_213182 	1
A_15_P109457	tia1	NM_212628 	1
A_15_P388565	wdr60	XM_005166443 	1
A_15_P107376	colec11	NM_001007331 	1
A_15_P104513	midn	NM_207052 	1
A_15_P624661	zgc:171844	NM_001127478 	1
CUST_807_PI425730982	utp15	NM_199704 	1
A_15_P683561	LOC100536887	XM_003201704 	1
A_15_P632116	pla1a	NM_207056 	1
A_15_P719101	bap1	NM_001163837 	1
CUST_11746_PI425730982	rab11fip1b	XM_005164192 	1
A_15_P406995	zgc:152816	NM_001077760 	1
A_15_P168451	znf296	NM_001044319 	1
CUST_11314_PI425730982	ugt5b1	XM_005170846 	1
A_15_P543612	mrps5	NM_001076596 	1
A_15_P726486	tgm1l2	XM_009297094 	1
CUST_20824_PI425730982	r3hdml	XM_685374 	1
A_15_P114657	agr2	NM_001012481 	1
CUST_461_PI425730982	myh6	NM_198823 	1
A_15_P111232	nt5c2a	NM_201427 	1
A_15_P163151	ctdspl2b	NM_001089326 	1
CUST_23896_PI425730982	trpc4b	NM_001289881 	1
A_15_P342315	plod2	NM_001089464 	1
A_15_P114776	selm	NM_178286 	1
A_15_P116905	drd3	NM_183067 	1
CUST_11171_PI425730982	prdm14	NM_001163831 	1
A_15_P189806	grm1	NM_001302252 	1
A_15_P375045	si:ch211-150f22.3	NM_001301114 	1
A_15_P720681	zgc:113184	NM_001020716 	1
A_15_P121315	mpzl3	NM_213169 	1
A_15_P508367	vav3b	NM_001126393 	1
A_15_P192126	si:dkey-5n18.1	XM_693924 	1
A_15_P592637	zgc:173544	NM_001113630 	1
CUST_22042_PI425730982	LOC103911827	XM_009305949 	1
A_15_P206756	hbae3	NM_183066 	1
CUST_22041_PI425730982	gadd45gip1	XM_001345097 	1
A_15_P104924	slc4a4a	NM_001034984 	1
CUST_14858_PI425730982	hgsnat	XM_005159859 	1
A_15_P105270	slc25a22	XM_009302668 	1
A_15_P613392	mn1b	XM_001919740 	1
A_15_P240301	si:ch211-183f23.2	XM_001337228 	1
A_15_P110076	pltp	XM_005168777 	1
A_15_P107309	noto	NM_131055 	1
A_15_P109263	ttc26	NM_001008617 	1
A_15_P739556	fam89b	XM_001921384 	1
A_15_P280491	otud7b	NM_001077744 	1
A_15_P383000	cited4b	NM_200078 	1
A_15_P164896	si:ch73-128c2.6	XM_009291423 	1
A_15_P224691	si:dkey-253d23.4	XM_003201013 	1
A_15_P628121	sppl2	NM_001015067 	1
A_15_P168806	smyd2b	NM_001045291 	1
A_15_P517047	ror1	XM_005165885 	1
CUST_308_PI425731064	ppm1f	NM_001018155 	1
A_15_P625466	zgc:194101	NM_001128803 	1
A_15_P106929	robo1	NM_131481 	1
CUST_2383_PI425731107	fjx1	XM_001337564 	1
A_15_P364065	ddx54	NM_173268 	1
CUST_1403_PI425731064	syne2b	XM_009307509 	1
A_15_P149196	mbtps2	NM_001025461 	1
A_15_P107230	pdp1	NM_001111158 	1
CUST_7547_PI425730982	kcna2b	XM_009296617 	1
CUST_4302_PI425730982	irak1bp1	NM_001020771 	1
A_15_P356725	emilin3	XM_005161925 	1
CUST_9458_PI425730982	LOC101885893	XM_009293775 	1
A_15_P118215	ttc5	NM_001017654 	1
A_15_P750187	LOC103908656	XM_009298908 	1
CUST_7288_PI425730982	zgc:171930	NM_001105708 	1
A_15_P157651	si:dkey-76p7.5	XM_688028 	1
CUST_8142_PI425730982	fscn2a	XM_009299825 	1
A_15_P565117	rabep2	NM_001080625 	1
A_15_P103851	zgc:91940	NM_001002669 	1
A_15_P625111	cyp2k19	NM_001079704 	1
A_15_P242611	si:dkey-32e23.4	XM_005167366 	1
A_15_P257246	si:ch211-196h16.12	XM_005160182 	1
CUST_505_PI425730982	rplp1	NM_200029 	1
CUST_1436_PI425731107	LOC101883092	XM_005168129 	1
A_15_P200526	si:dkey-179o14.1	XM_009292256 	1
A_15_P173561	zgc:112994	NM_001020707 	1
CUST_7630_PI425730982	il21r.2	XM_009299732 	1
A_15_P150526	zgc:112368	NM_001025474 	1
CUST_10438_PI425730982	rap1gap2b	NM_001130656 	1
A_15_P660286	fam53c	NM_001111239 	1
A_15_P114010	mrps9	NM_001045396 	1
CUST_666_PI425731064	si:ch211-250k18.8	XM_009291928 	1
CUST_1356_PI425731107	LOC101884467	XM_009295805 	1
A_15_P745561	stim1a	NM_001044799 	1
A_15_P101912	ppp4r4	XM_691244 	1
A_15_P180376	haus1	NM_001256249 	1
A_15_P101162	fxyd6l	NM_001201418 	1
A_15_P684511	si:ch73-97h19.2	XM_694768 	1
A_15_P154186	rnf145b	NM_199763 	1
A_15_P137916	ecm2	XM_681415 	1
CUST_1331_PI425731064	si:ch211-114l13.10	XM_009295670 	1
